"day","month","year","site","habitat","common_name","scientific_name","count"
23,2,1999,"A","pool","Bluegill","Lepomis macrochirus",0
23,2,1999,"A","pool","Bluntnose Minnow","Pimephales notatus",0
23,2,1999,"A","pool","Carmine Shiner","Notropis percobromus",0
23,2,1999,"A","pool","Central Stoneroller","Campostoma anamolum",100
23,2,1999,"A","pool","Common Shiner","Luxilus cornutus",0
23,2,1999,"A","pool","Creek Chub","Semotilis atromaculatus",85
23,2,1999,"A","pool","Fathead Minnow","Pimephales promelas",0
23,2,1999,"A","pool","Green Sunfish","Lepomis cyanellus",0
23,2,1999,"A","pool","Johnny Darter","Etheostoma nigrum",0
23,2,1999,"A","pool","Longear Sunfish","Lepomis megalotis",0
23,2,1999,"A","pool","Orangespotted Sunfish","Lepomis humilis",0
23,2,1999,"A","pool","Orangethroated Darter","Etheostoma spectabile",85
23,2,1999,"A","pool","Red Shiner","Cyprinella lutrensis",0
23,2,1999,"A","pool","Ringed Crayfish","Orconectes neglectus",0
23,2,1999,"A","pool","Sand Shiner","Notropis stramineus",0
23,2,1999,"A","pool","Slender Madtom","Noturus exilis",0
23,2,1999,"A","pool","Southern Redbelly Dace","Phoxinus erythrogaster",136
23,2,1999,"A","pool","Suckermouth Minnows","Phenocobius mirabilis",0
23,2,1999,"A","pool","Water Nymph Crayfish","Orconectes nais",0
23,2,1999,"A","pool","Western Mosquitofish","Gambusia affinis",0
23,2,1999,"A","pool","White Sucker","Catostomus commersoni",3
23,2,1999,"A","riffle","Bluegill","Lepomis macrochirus",0
23,2,1999,"A","riffle","Bluntnose Minnow","Pimephales notatus",0
23,2,1999,"A","riffle","Carmine Shiner","Notropis percobromus",0
23,2,1999,"A","riffle","Central Stoneroller","Campostoma anamolum",31
23,2,1999,"A","riffle","Common Shiner","Luxilus cornutus",0
23,2,1999,"A","riffle","Creek Chub","Semotilis atromaculatus",0
23,2,1999,"A","riffle","Fathead Minnow","Pimephales promelas",0
23,2,1999,"A","riffle","Green Sunfish","Lepomis cyanellus",0
23,2,1999,"A","riffle","Johnny Darter","Etheostoma nigrum",0
23,2,1999,"A","riffle","Longear Sunfish","Lepomis megalotis",0
23,2,1999,"A","riffle","Orangespotted Sunfish","Lepomis humilis",0
23,2,1999,"A","riffle","Orangethroated Darter","Etheostoma spectabile",26
23,2,1999,"A","riffle","Red Shiner","Cyprinella lutrensis",0
23,2,1999,"A","riffle","Ringed Crayfish","Orconectes neglectus",0
23,2,1999,"A","riffle","Sand Shiner","Notropis stramineus",0
23,2,1999,"A","riffle","Slender Madtom","Noturus exilis",0
23,2,1999,"A","riffle","Southern Redbelly Dace","Phoxinus erythrogaster",1
23,2,1999,"A","riffle","Suckermouth Minnows","Phenocobius mirabilis",0
23,2,1999,"A","riffle","Water Nymph Crayfish","Orconectes nais",0
23,2,1999,"A","riffle","Western Mosquitofish","Gambusia affinis",0
23,2,1999,"A","riffle","White Sucker","Catostomus commersoni",0
25,2,1999,"B","pool","Bluegill","Lepomis macrochirus",0
25,2,1999,"B","pool","Bluntnose Minnow","Pimephales notatus",0
25,2,1999,"B","pool","Carmine Shiner","Notropis percobromus",0
25,2,1999,"B","pool","Central Stoneroller","Campostoma anamolum",40
25,2,1999,"B","pool","Common Shiner","Luxilus cornutus",0
25,2,1999,"B","pool","Creek Chub","Semotilis atromaculatus",3
25,2,1999,"B","pool","Fathead Minnow","Pimephales promelas",0
25,2,1999,"B","pool","Green Sunfish","Lepomis cyanellus",0
25,2,1999,"B","pool","Johnny Darter","Etheostoma nigrum",0
25,2,1999,"B","pool","Longear Sunfish","Lepomis megalotis",0
25,2,1999,"B","pool","Orangespotted Sunfish","Lepomis humilis",0
25,2,1999,"B","pool","Orangethroated Darter","Etheostoma spectabile",18
25,2,1999,"B","pool","Red Shiner","Cyprinella lutrensis",0
25,2,1999,"B","pool","Ringed Crayfish","Orconectes neglectus",0
25,2,1999,"B","pool","Sand Shiner","Notropis stramineus",0
25,2,1999,"B","pool","Slender Madtom","Noturus exilis",0
25,2,1999,"B","pool","Southern Redbelly Dace","Phoxinus erythrogaster",4
25,2,1999,"B","pool","Suckermouth Minnows","Phenocobius mirabilis",0
25,2,1999,"B","pool","Water Nymph Crayfish","Orconectes nais",0
25,2,1999,"B","pool","Western Mosquitofish","Gambusia affinis",0
25,2,1999,"B","pool","White Sucker","Catostomus commersoni",0
25,2,1999,"B","riffle","Bluegill","Lepomis macrochirus",0
25,2,1999,"B","riffle","Bluntnose Minnow","Pimephales notatus",0
25,2,1999,"B","riffle","Carmine Shiner","Notropis percobromus",0
25,2,1999,"B","riffle","Central Stoneroller","Campostoma anamolum",12
25,2,1999,"B","riffle","Common Shiner","Luxilus cornutus",0
25,2,1999,"B","riffle","Creek Chub","Semotilis atromaculatus",0
25,2,1999,"B","riffle","Fathead Minnow","Pimephales promelas",0
25,2,1999,"B","riffle","Green Sunfish","Lepomis cyanellus",0
25,2,1999,"B","riffle","Johnny Darter","Etheostoma nigrum",0
25,2,1999,"B","riffle","Longear Sunfish","Lepomis megalotis",0
25,2,1999,"B","riffle","Orangespotted Sunfish","Lepomis humilis",0
25,2,1999,"B","riffle","Orangethroated Darter","Etheostoma spectabile",7
25,2,1999,"B","riffle","Red Shiner","Cyprinella lutrensis",0
25,2,1999,"B","riffle","Ringed Crayfish","Orconectes neglectus",0
25,2,1999,"B","riffle","Sand Shiner","Notropis stramineus",0
25,2,1999,"B","riffle","Slender Madtom","Noturus exilis",0
25,2,1999,"B","riffle","Southern Redbelly Dace","Phoxinus erythrogaster",0
25,2,1999,"B","riffle","Suckermouth Minnows","Phenocobius mirabilis",0
25,2,1999,"B","riffle","Water Nymph Crayfish","Orconectes nais",0
25,2,1999,"B","riffle","Western Mosquitofish","Gambusia affinis",0
25,2,1999,"B","riffle","White Sucker","Catostomus commersoni",0
25,2,1999,"C","pool","Bluegill","Lepomis macrochirus",0
25,2,1999,"C","pool","Bluntnose Minnow","Pimephales notatus",0
25,2,1999,"C","pool","Carmine Shiner","Notropis percobromus",0
25,2,1999,"C","pool","Central Stoneroller","Campostoma anamolum",31
25,2,1999,"C","pool","Common Shiner","Luxilus cornutus",0
25,2,1999,"C","pool","Creek Chub","Semotilis atromaculatus",0
25,2,1999,"C","pool","Fathead Minnow","Pimephales promelas",0
25,2,1999,"C","pool","Green Sunfish","Lepomis cyanellus",0
25,2,1999,"C","pool","Johnny Darter","Etheostoma nigrum",0
25,2,1999,"C","pool","Longear Sunfish","Lepomis megalotis",0
25,2,1999,"C","pool","Orangespotted Sunfish","Lepomis humilis",0
25,2,1999,"C","pool","Orangethroated Darter","Etheostoma spectabile",25
25,2,1999,"C","pool","Red Shiner","Cyprinella lutrensis",0
25,2,1999,"C","pool","Ringed Crayfish","Orconectes neglectus",0
25,2,1999,"C","pool","Sand Shiner","Notropis stramineus",0
25,2,1999,"C","pool","Slender Madtom","Noturus exilis",0
25,2,1999,"C","pool","Southern Redbelly Dace","Phoxinus erythrogaster",80
25,2,1999,"C","pool","Suckermouth Minnows","Phenocobius mirabilis",0
25,2,1999,"C","pool","Water Nymph Crayfish","Orconectes nais",0
25,2,1999,"C","pool","Western Mosquitofish","Gambusia affinis",0
25,2,1999,"C","pool","White Sucker","Catostomus commersoni",0
26,2,1999,"D","pool","Bluegill","Lepomis macrochirus",0
26,2,1999,"D","pool","Bluntnose Minnow","Pimephales notatus",0
26,2,1999,"D","pool","Carmine Shiner","Notropis percobromus",0
26,2,1999,"D","pool","Central Stoneroller","Campostoma anamolum",21
26,2,1999,"D","pool","Common Shiner","Luxilus cornutus",0
26,2,1999,"D","pool","Creek Chub","Semotilis atromaculatus",4
26,2,1999,"D","pool","Fathead Minnow","Pimephales promelas",0
26,2,1999,"D","pool","Green Sunfish","Lepomis cyanellus",0
26,2,1999,"D","pool","Johnny Darter","Etheostoma nigrum",0
26,2,1999,"D","pool","Longear Sunfish","Lepomis megalotis",0
26,2,1999,"D","pool","Orangespotted Sunfish","Lepomis humilis",0
26,2,1999,"D","pool","Orangethroated Darter","Etheostoma spectabile",0
26,2,1999,"D","pool","Red Shiner","Cyprinella lutrensis",0
26,2,1999,"D","pool","Ringed Crayfish","Orconectes neglectus",0
26,2,1999,"D","pool","Sand Shiner","Notropis stramineus",0
26,2,1999,"D","pool","Slender Madtom","Noturus exilis",0
26,2,1999,"D","pool","Southern Redbelly Dace","Phoxinus erythrogaster",0
26,2,1999,"D","pool","Suckermouth Minnows","Phenocobius mirabilis",0
26,2,1999,"D","pool","Water Nymph Crayfish","Orconectes nais",0
26,2,1999,"D","pool","Western Mosquitofish","Gambusia affinis",0
26,2,1999,"D","pool","White Sucker","Catostomus commersoni",0
24,5,1999,"C","pool","Bluegill","Lepomis macrochirus",0
24,5,1999,"C","pool","Bluntnose Minnow","Pimephales notatus",0
24,5,1999,"C","pool","Carmine Shiner","Notropis percobromus",0
24,5,1999,"C","pool","Central Stoneroller","Campostoma anamolum",9
24,5,1999,"C","pool","Common Shiner","Luxilus cornutus",0
24,5,1999,"C","pool","Creek Chub","Semotilis atromaculatus",0
